ProductId,ProductCategory,ChannelId,Amount,Value,PricingStrategy,FraudResult,Date,Hour,Minute,Second,Day,Marge_Brute,Taux_de_rentabilité
ProductId_10,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,2,18,49,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-20.0,20,2,0,2018-11-15,2,19,8,15,-40.0,-200.0
ProductId_1,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,2,44,21,15,0.0,0.0
ProductId_21,utility_bill,ChannelId_3,20000.0,21800,2,0,2018-11-15,3,32,55,15,-1800.0,-8.256880733944955
ProductId_6,financial_services,ChannelId_2,-644.0,644,2,0,2018-11-15,3,34,21,15,-1288.0,-200.0
ProductId_3,airtime,ChannelId_3,2000.0,2000,2,0,2018-11-15,3,35,10,15,0.0,0.0
ProductId_3,airtime,ChannelId_3,10000.0,10000,4,0,2018-11-15,3,44,31,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-500.0,500,2,0,2018-11-15,3,45,13,15,-1000.0,-200.0
ProductId_10,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,4,14,59,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,600.0,600,2,0,2018-11-15,4,31,48,15,0.0,0.0
ProductId_3,airtime,ChannelId_3,890.0,890,2,0,2018-11-15,4,32,8,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-40.0,40,2,0,2018-11-15,4,32,42,15,-80.0,-200.0
ProductId_15,financial_services,ChannelId_3,600.0,600,2,0,2018-11-15,4,35,10,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,4,47,31,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,4,48,9,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,4000.0,4000,2,0,2018-11-15,4,51,20,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,500.0,500,2,0,2018-11-15,4,52,37,15,0.0,0.0
ProductId_11,data_bundles,ChannelId_3,1000.0,1000,2,0,2018-11-15,4,54,0,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2,0,2018-11-15,4,54,18,15,-20.0,-200.0
ProductId_3,airtime,ChannelId_3,500.0,500,4,0,2018-11-15,4,56,25,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2,0,2018-11-15,4,57,0,15,-50.0,-200.0
ProductId_3,airtime,ChannelId_3,500.0,500,4,0,2018-11-15,4,59,2,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-25.0,25,2,0,2018-11-15,4,59,41,15,-50.0,-200.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,4,59,51,15,0.0,0.0
ProductId_10,airtime,ChannelId_3,500.0,500,2,0,2018-11-15,5,6,25,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-10.0,10,2,0,2018-11-15,5,6,39,15,-20.0,-200.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,5,37,24,15,0.0,0.0
ProductId_19,tv,ChannelId_3,3500.0,3500,2,0,2018-11-15,5,38,25,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-70.0,70,2,0,2018-11-15,5,38,35,15,-140.0,-200.0
ProductId_15,financial_services,ChannelId_3,2000.0,2000,2,0,2018-11-15,5,38,37,15,0.0,0.0
ProductId_4,airtime,ChannelId_3,2000.0,2000,2,0,2018-11-15,5,43,41,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-100.0,100,2,0,2018-11-15,5,44,6,15,-200.0,-200.0
ProductId_15,financial_services,ChannelId_3,10000.0,10000,2,0,2018-11-15,5,49,37,15,0.0,0.0
ProductId_3,airtime,ChannelId_3,1500.0,1500,2,0,2018-11-15,5,50,14,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-67.25,68,2,0,2018-11-15,5,50,48,15,-135.25,-198.89705882352942
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,5,52,57,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-50.0,50,2,0,2018-11-15,5,53,27,15,-100.0,-200.0
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2,0,2018-11-15,5,54,12,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,2200.0,2200,2,0,2018-11-15,5,55,12,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2,0,2018-11-15,6,1,28,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2,0,2018-11-15,6,2,27,15,0.0,0.0
ProductId_21,utility_bill,ChannelId_3,10000.0,11200,2,0,2018-11-15,6,3,0,15,-1200.0,-10.714285714285714
ProductId_6,financial_services,ChannelId_2,-622.0,622,2,0,2018-11-15,6,3,27,15,-1244.0,-200.0
ProductId_15,financial_services,ChannelId_3,8000.0,8000,2,0,2018-11-15,6,3,40,15,0.0,0.0
ProductId_10,airtime,ChannelId_3,5000.0,5000,2,0,2018-11-15,6,4,47,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-100.0,100,2,0,2018-11-15,6,4,58,15,-200.0,-200.0
ProductId_11,data_bundles,ChannelId_3,2000.0,2000,4,0,2018-11-15,6,5,11,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-40.0,40,2,0,2018-11-15,6,5,33,15,-80.0,-200.0
ProductId_21,utility_bill,ChannelId_3,5000.0,5750,2,0,2018-11-15,6,8,57,15,-750.0,-13.043478260869565
ProductId_10,airtime,ChannelId_3,2000.0,2000,2,0,2018-11-15,6,10,19,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-40.0,40,2,0,2018-11-15,6,10,33,15,-80.0,-200.0
ProductId_6,financial_services,ChannelId_2,-496.0,496,2,0,2018-11-15,6,11,4,15,-992.0,-200.0
ProductId_15,financial_services,ChannelId_3,30000.0,30000,2,0,2018-11-15,6,13,54,15,0.0,0.0
ProductId_1,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,6,14,20,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-50.0,50,2,0,2018-11-15,6,14,32,15,-100.0,-200.0
ProductId_10,airtime,ChannelId_3,1261.0,1261,2,0,2018-11-15,6,16,39,15,0.0,0.0
ProductId_15,financial_services,ChannelId_3,2000.0,2000,2,0,2018-11-15,6,17,42,15,0.0,0.0
ProductId_5,transport,ChannelId_3,41000.0,41000,2,0,2018-11-15,6,18,24,15,0.0,0.0
ProductId_3,airtime,ChannelId_3,2000.0,2000,1,0,2018-11-15,6,20,45,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-100.0,100,2,0,2018-11-15,6,22,49,15,-200.0,-200.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,6,27,21,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-50.0,50,2,0,2018-11-15,6,27,51,15,-100.0,-200.0
ProductId_10,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,6,28,58,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-20.0,20,2,0,2018-11-15,6,29,10,15,-40.0,-200.0
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,6,30,33,15,0.0,0.0
ProductId_3,airtime,ChannelId_3,3000.0,3000,2,0,2018-11-15,6,31,35,15,0.0,0.0
ProductId_6,financial_services,ChannelId_2,-150.0,150,2,0,2018-11-15,6,32,4,15,-300.0,-200.0
ProductId_21,utility_bill,ChannelId_3,5000.0,5750,2,0,2018-11-15,6,39,10,15,-750.0,-13.043478260869565
ProductId_3,airtime,ChannelId_3,1000.0,1000,2,0,2018-11-15,6,39,41,15,0.0,0.0
